
original,suggested
"If you have not received this, please call the unit for further advice.","If you have not received this, please call the unit for further advice."
You should expect frequent bowel movements and diarrhoea.,You should expect frequent bowel movements and loose stools.
"Then, you must not eat or drink anything until after your test when you have been advised that it is safe to do so by a member of staff.","Then, you should not eat or drink anything until after your test when you have been advised that it is safe to do so by a member of staff."
"If you are worried about taking the medicine, please contact us straight away.","If you are worried about taking the medicine, please contact us straight away."
Iron Tablets or Stool Bulking Agents: Stop taking these seven days before your test.,Iron Tablets or Stool Bulking Agents: please stop taking these seven days before your test.
Please contact your anticoagulant clinic and ask them to check your clotting levels within 1 week of your test.,Please contact your anticoagulant clinic and ask them to check your clotting levels within 1 week of your test.
Do not stop taking it unless you are specifically told to do so.,please avoid please stop taking it unless you are specifically told to do so.
"Oral contraceptive pills: If you are taking an oral contraceptive pill, diarrhoea can make it less effective.","Oral contraceptive pills: If you are taking an oral contraceptive pill, loose stools can make it less effective."
"You may feel some discomfort, bloating or abdominal pain during your colonoscopy.","You may feel some discomfort, bloating or abdominal discomfort during your colonoscopy."
There are two choices of pain relief available.,There are two choices of discomfort relief available.
Sedation and a pain relief drug can be given as an injection into a vein in your hand or arm.,Sedation and a discomfort relief drug can be given as an injection into a vein in your hand or arm.
You must have a responsible adult to take you home and look after you for at least 12 hours after having sedation.,you should have a responsible adult to take you home and look after you for at least 12 hours after having sedation.
"Due to this you must NOT do the following for 24 hours: drive a vehicle, operate any machinery or electrical items, drink alcohol, sign any legally binding documents, return to work, take recreational drugs, carry children or climb heights, take sedative drugs or sleeping tablets, or be responsible for anyone else.","Due to this you should not do the following for 24 hours: drive a vehicle, operate any machinery or electrical items, drink alcohol, sign any legally binding documents, return to work, take recreational drugs, carry children or climb heights, take sedative drugs or sleeping tablets, or be responsible for anyone else."
Moderate sedation involves the use of medications to reduce anxiety and pain as well as impair consciousness and memory.,Moderate sedation involves the use of medications to reduce anxiety and discomfort as well as impair consciousness and memory.
"It may not be possible to achieve complete loss of consciousness, amnesia, or lack of sensation with this level of sedation.","It may not be possible to achieve complete loss of consciousness, amnesia, or lack of sensation with this level of sedation."
Medications that will be utilized include Midazolam to reduce anxiety and Fentanyl to reduce pain associated with the procedure.,Medications that will be utilized include Midazolam to reduce anxiety and Fentanyl to reduce discomfort associated with the procedure.
"Maneuvers such as jaw thrusting and placement of airway devices in your mouth, nose, or throat may be needed if breathing is not adequate.","Maneuvers such as jaw thrusting and placement of airway devices in your mouth, nose, or throat may be needed if breathing is not adequate."
"RISKS: The risks associated with sedation include but are not limited to allergic reaction, aspiration, nausea, vomiting, shortness of breath, respiratory depression, airway obstruction, anxiety, agitation, and confusion.","RISKS: The risks associated with sedation include but are not limited to allergy, aspiration, feeling sick, feeling sick, difficulty breathing, respiratory depression, airway obstruction, anxiety, agitation, and confusion."
"Some adverse effects can persist for hours after sedation including dizziness, grogginess, confusion, forgetfulness, headache, nausea, vomiting, dry mouth, itching, urinary retention, and constipation.","Some adverse effects can persist for hours after sedation including dizziness, grogginess, confusion, forgetfulness, headache, feeling sick, feeling sick, dry mouth, itching, urinary retention, and difficulty with bowel movements."
"There may be other unpredictable risks of rare complications including anaphylaxis, respiratory arrest, cardiac arrest, heart attack, stroke, brain death, paralysis, or death.","There may be other unpredictable risks of rare issues including severe allergy, breathing stopping, heart stopping, serious cardiac condition, serious medical condition, brain very serious complications, loss of movement, or very serious complications."
"Serious complications may require additional procedures such as positive pressure ventilation, placement of airway devices or intubation, CPR, or administration of life support medications.","Serious issues may require additional procedures such as positive pressure ventilation, placement of airway devices or intubation, CPR, or administration of life support medications."
You will be asked to stay in the department for 30 minutes afterwards and not to leave the hospital or drive for an hour following the procedure to make sure there are no after effects.,we will ask you to stay in the department for 30 minutes afterwards and not to leave the hospital or drive for an hour following the procedure to make sure there are no after effects.
You should drink plenty of fluid after your examination to flush the dye out of your system.,You should drink plenty of fluid after your examination to flush the dye out of your system.
"The dye contains iodine which can cause a mild allergic reaction during the injection such as itching, wheezing or nausea.","The dye contains iodine which can cause a mild allergy during the injection such as itching, wheezing or feeling sick."
These reactions rarely occur and normally pass off very quickly within five to ten minutes of the injection.,These reactions rarely occur and normally pass off very quickly within five to ten minutes of the injection.
